Released,Model,Family,Discontinued
1-Sep-10,iPod Touch (4th generation) (8 & 64 GB),iPod Touch,12-Sep-12
,iPod Touch (4th generation) (32 GB),iPod Touch,30-May-13
,iPod Nano (6th gen),iPod Nano,12-Sep-12
,iPod Shuffle (4th gen),iPod Shuffle,27-Jul-17
,Apple TV (2nd gen),Apple TV,7-Mar-12
20-Oct-10,MacBook Air (Late 2010),MacBook Air,20-Jul-11
,,,
Released,Model,Family,Discontinued
10-Feb-11,iPhone 4 (CDMA) (16 & 32 GB),iPhone,4-Oct-11
24-Feb-11,MacBook Pro (Early 2011),MacBook Pro,24-Oct-11
11-Mar-11,iPad 2 (16 GB),iPad,18-Mar-14
,iPad 2 (32 & 64 GB),iPad,7-Mar-12
3-May-11,iMac (Mid 2011),iMac,30-Nov-12
21-Jun-11,AirPort Extreme 802.11n (5th gen),AirPort,10-Jun-13
,Time Capsule (4th gen),"AirPort, drives",10-Jun-13
20-Jul-11,MacBook Air (Mid 2011),MacBook Air,11-Jun-12
,Mac Mini (Mid 2011),Mac Mini,23-Oct-12
,Thunderbolt Display,Displays,23-Jun-16
14-Oct-11,iPhone 4 (8 GB),iPhone,10-Sep-13
,iPhone 4S (16 GB),iPhone,10-Sep-13
,iPhone 4S (32 & 64 GB),iPhone,12-Sep-12
24-Oct-11,MacBook Pro (Late 2011),MacBook Pro,11-Jun-12
,,,
Released,Model,Family,Discontinued
16-Mar-12,iPad (3rd gen),iPad,23-Oct-12
,Apple TV (3rd gen),Apple TV,28-Jan-13
11-Jun-12,Mac Pro (Mid 2012),Mac Pro,19-Dec-13
,MacBook Air (Mid 2012),MacBook Air,10-Jun-13
,MacBook Pro (Mid 2012),MacBook Pro,27-Oct-16
,"MacBook Pro with Retina display (3rd gen) (15"") (Mid 2012)",MacBook Pro,13-Feb-13
,AirPort Express 802.11n (2nd gen),AirPort Express,26-Apr-18
12-Sep-12,EarPods with 3.5mm connector,Headphones,current
,iPod Touch (4th generation) (16 GB),iPod Touch,30-May-13
21-Sep-12,iPhone 5,iPhone,10-Sep-13
11-Oct-12,iPod Touch (5th generation) (32 & 64 GB),iPod Touch,15-Jul-15
,iPod Nano (7th gen),iPod Nano,27-Jul-17
23-Oct-12,Mac Mini (Late 2012),Mac Mini,16-Oct-14
,"MacBook Pro with Retina display (3rd gen) (13"") (Late 2012)",MacBook Pro,13-Feb-13
2-Nov-12,iPad mini (1st gen) (Wi-Fi) (16 GB),iPad,19-Jun-15
,iPad mini (1st gen) (Wi-Fi) (32 & 64 GB),iPad,22-Oct-13
,iPad (4th gen) (Wi-Fi) (16 GB),iPad,16-Oct-14
,iPad (4th gen) (Wi-Fi) (32 & 64 GB),iPad,22-Oct-13
16-Nov-12,iPad Mini (Wi-Fi + Cellular) (16 GB),iPad,19-Jun-15
,iPad Mini (Wi-Fi + Cellular) (32 & 64 GB),iPad,22-Oct-13
,iPad (4th gen) (Wi-Fi + Cellular) (16 GB),iPad,16-Oct-14
,iPad (4th gen) (Wi-Fi + Cellular) (32 & 64 GB),iPad,22-Oct-13
30-Nov-12,"iMac (21.5"") (Late 2012)",iMac,24-Sep-13
Dec-12,"iMac (27"") (Late 2012)",iMac,24-Sep-13
,,,
Released,Model,Family,Discontinued
28-Jan-13,Apple TV (3rd generation Rev A),Apple TV,8-Sep-16
13-Feb-13,"MacBook Pro (Retina, Early 2013)",MacBook Pro,22-Oct-13
